customer_id,frequency,monetary,recency,R,F,M,segment,name,country,age
1,2,115.38999999999999,128,5,3,2,Sadık,Jennifer Salinas,JP,71
2,2,68.52000000000001,302,4,3,1,Sadık,Phillip Ramos,IN,26
3,1,66.72,1945,1,1,1,Kayıp,Dawn Fowler,BR,21
4,2,279.86,822,3,3,4,Sadık,Mario Butler,FR,63
5,3,271.28999999999996,274,4,4,4,Şampiyon,Amber Brown,BR,19
6,4,387.40000000000003,338,4,4,4,Şampiyon,Kevin Chapman,US,28
7,2,96.81,1146,2,3,2,Risk Altında,Timothy Sanchez,IN,48
8,1,207.4,1910,1,1,3,Kayıp,Rachael Morales,GB,33
9,1,122.51,528,3,1,2,Potansiyel,Laura Guzman,US,32
10,3,398.85,943,2,4,4,Risk Altında,Alexander Lopez,JP,39
12,2,484.25,453,4,3,5,Sadık,Margaret Li,US,70
14,3,380.89,3,5,4,4,Şampiyon,Matthew Thompson,SG,28
15,2,40.06,1276,2,3,1,Risk Altında,Paul Neal,AU,52
16,1,285.4,556,3,1,4,Potansiyel,Richard Mills,JP,51
17,3,791.85,599,3,4,5,Sadık,David Young,US,31
18,4,805.64,380,4,4,5,Şampiyon,James Burke,IN,45
19,3,265.32,1639,1,4,4,Risk Altında,Dr. Kimberly Kennedy,AU,57
20,4,499.72999999999996,160,5,4,5,Şampiyon,Stephen Mccormick,AE,33
22,1,169.83,1887,1,1,3,Kayıp,Amanda Taylor,AU,59
23,1,57.19,884,2,1,1,Kayıp,Pamela Gonzalez,US,22
25,2,318.95,223,4,3,4,Sadık,Paul Chen,US,41
26,1,5.93,907,2,1,1,Kayıp,Francis Coleman,US,49
27,2,75.13,683,3,3,2,Sadık,Isabel Flores,IN,35
28,1,44.21,1892,1,1,1,Kayıp,Jason Graham,US,24
29,1,16.8,1842,1,1,1,Kayıp,Michelle Carey,FR,62
30,2,369.64,258,4,3,4,Sadık,Paul Brown,MX,47
31,2,296.48,78,5,3,4,Sadık,Tina Robertson,US,71
32,1,75.05,893,2,1,2,Kayıp,Christopher Mcmillan,MX,69
34,6,464.48,107,5,4,5,Şampiyon,Matthew Watson,MX,28
35,3,253.84,134,5,4,3,Şampiyon,Stephen Hall,PL,60
36,3,183.79000000000002,757,3,4,3,Sadık,Maria Bailey,US,24
37,2,239.32999999999998,1096,2,3,3,Risk Altında,Joel Norris,FR,59
39,3,358.38,999,2,4,4,Risk Altında,David Nguyen,MX,26
40,5,1025.31,190,5,4,5,Şampiyon,Monica Garcia,DE,64
42,2,63.129999999999995,939,2,3,1,Risk Altında,James Johnson,NL,25
43,3,675.04,60,5,4,5,Şampiyon,William Phillips,GB,42
45,3,383.31,461,4,4,4,Şampiyon,Sherry May,MX,33
46,2,72.24,31,5,3,1,Sadık,David Haynes,GB,18
48,2,441.99,265,4,3,5,Sadık,Mary Salas,ES,49
49,3,580.52,575,3,4,5,Sadık,Joshua Martin,SE,49
50,1,186.6,1672,1,1,3,Kayıp,Daniel Alvarez,ES,29
51,2,267.34,42,5,3,4,Sadık,Patrick Bryant,FR,25
52,2,108.4,834,3,3,2,Sadık,Lisa Walsh,DE,48
54,2,180.43,1248,2,3,3,Risk Altında,Teresa Rose,AE,54
55,2,351.59,718,3,3,4,Sadık,Carl Frank,US,45
56,3,220.51999999999998,658,3,4,3,Sadık,Brianna Wade,NL,50
57,1,97.38,803,3,1,2,Potansiyel,Penny Harrison,US,48
58,2,246.35000000000002,845,3,3,3,Sadık,Miss Karen Trujillo,BR,26
59,1,81.92,1341,1,1,2,Kayıp,Mr. Bradley Prince,AU,24
60,3,191.16,731,3,4,3,Sadık,Justin Nguyen,BR,22
61,3,288.46999999999997,55,5,4,4,Şampiyon,Adam Lynn,ES,29
62,3,393.98,1585,1,4,4,Risk Altında,Charlene Hayes,IN,50
63,1,239.32,572,3,1,3,Potansiyel,Steven Franklin,ES,65
64,1,32.27,760,3,1,1,Potansiyel,Christina Schwartz,GB,49
65,1,64.69,721,3,1,1,Potansiyel,Deborah Young,IN,27
66,2,311.93,1063,2,3,4,Risk Altında,Charles Henry,AE,72
68,2,196.32,1530,1,3,3,Risk Altında,Zachary Lowe,PL,75
69,2,502.8,165,5,3,5,Sadık,Angel Doyle,CA,20
70,3,132.72,992,2,4,2,Risk Altında,Dr. Andrew Robbins,BR,37
72,2,215.5,475,4,3,3,Sadık,Samantha Carter,US,41
73,2,367.86,820,3,3,4,Sadık,Haley Harris,US,41
74,5,429.62,328,4,4,4,Şampiyon,Edwin Willis,IN,31
75,1,589.54,78,5,1,5,Yeni,Jennifer Andrews,CA,48
76,3,306.15,1094,2,4,4,Risk Altında,Thomas Franklin,GB,66
78,2,362.26,218,5,3,4,Sadık,Carrie Alvarado,SE,67
79,3,887.65,509,3,4,5,Sadık,Shane Taylor,US,69
80,2,367.45000000000005,36,5,3,4,Sadık,Fernando Jordan,ES,53
81,5,334.91999999999996,481,4,4,4,Şampiyon,Jennifer Dominguez,GB,53
82,1,37.63,543,3,1,1,Potansiyel,Kevin Pace,US,26
85,1,75.05,1349,1,1,2,Kayıp,Joanne Manning,BR,34
86,1,245.08,1225,2,1,3,Kayıp,Monica Miller,CA,27
91,5,727.71,72,5,4,5,Şampiyon,Douglas Howell,BR,69
92,4,344.28,62,5,4,4,Şampiyon,Lauren Bray,PL,46
93,2,126.78,1588,1,3,2,Risk Altında,Cynthia Hayes,NL,61
94,1,407.08,1532,1,1,4,Kayıp,Rose Clay,SG,30
95,2,500.46999999999997,265,4,3,5,Sadık,William Robles,MX,54
97,2,278.23,1157,2,3,4,Risk Altında,Daniel Scott,GB,70
98,1,59.52,1393,1,1,1,Kayıp,Heather Brown,AU,48
99,4,730.92,35,5,4,5,Şampiyon,Jonathan Harris,BR,18
100,4,297.38,608,3,4,4,Sadık,Kenneth Howard,IN,63
101,4,601.5699999999999,234,4,4,5,Şampiyon,Brian Chen,ES,38
102,4,404.15,325,4,4,4,Şampiyon,Lawrence Davis,SG,23
103,1,12.37,879,2,1,1,Kayıp,Cindy Schaefer,SE,43
104,2,145.17000000000002,1164,2,3,2,Risk Altında,Dawn Johnson,DE,63
105,1,324.03,2110,1,1,4,Kayıp,Justin Harrell,ES,41
106,2,101.59,733,3,3,2,Sadık,Tammy Mccarthy,AU,74
107,2,397.49,803,3,3,4,Sadık,Thomas Hunter,NL,74
108,2,453.75,1105,2,3,5,Risk Altında,Courtney Johnson MD,AU,48
109,1,1290.44,139,5,1,5,Yeni,Jose Stevenson,PL,40
110,1,30.12,536,3,1,1,Potansiyel,Teresa Rhodes,DE,69
112,1,44.71,1157,2,1,1,Kayıp,Suzanne Mcclain,US,58
113,1,50.89,210,5,1,1,Yeni,Ross Miller,AU,58
114,1,202.8,1205,2,1,3,Kayıp,Janice Johnson,SG,30
117,5,1355.84,30,5,4,5,Şampiyon,Ryan Cook,US,75
118,3,266.13,226,4,4,4,Şampiyon,Ashley Irwin,FR,53
120,2,193.42000000000002,1266,2,3,3,Risk Altında,Dr. Anne Roberts DVM,US,32
